GroupID,membershiptypeID,transactionprice,transactionpurchasedate,membershiptype
74293,b371e2ae-5d86-4837-a117-c4f6c8698b92,£19.99,7/28/14 0:00,2014/15 GOLD MEMBERSHIP (S/T HOLDERS)
74803,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 13:05,2024/25 Super Blues Membership
74803,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,10/1/23 9:50,2023/24 Super Blues Membership
75963,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 16:50,2024/25 Super Blues Membership
75963,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,3/30/24 14:51,2023/24 Super Blues Membership
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,10/17/24 0:31,Friend of the Foundation - £10 a Month
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,9/15/24 0:33,Friend of the Foundation - £10 a Month
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,4/17/24 16:35,Friend of the Foundation - £10 a Month
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,7/13/24 0:31,Friend of the Foundation - £10 a Month
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,8/14/24 0:32,Friend of the Foundation - £10 a Month
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,6/12/24 20:05,Friend of the Foundation - £10 a Month
77737,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,11/17/24 0:32,Friend of the Foundation - £10 a Month
77737,467a8775-c919-ef11-8444-84857200de01,£34.99,7/21/24 9:47,2024/25 Super Blues Membership
77737,d9388420-ae1c-48ad-9013-6ac15b5d15d4,£19.99,3/31/17 0:00,2017/18 GOLD MEMBERSHIP (S/T HOLDERS)
80551,467a8775-c919-ef11-8444-84857200de01,£39.99,8/14/24 14:37,2024/25 Super Blues Membership
83806,467a8775-c919-ef11-8444-84857200de01,£39.99,7/17/24 9:38,2024/25 Super Blues Membership
83806,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/27/23 15:18,2023/24 Super Blues Membership
83806,8afb6d4f-30c6-ec11-8396-e571432a47fd,£29.99,8/18/22 22:18,2022/23 - Silver Membership
83806,c5ca7573-6d6a-4721-a2a7-d31f58c2ef9d,£29.99,7/22/19 0:00,2019/20 SILVER MEMBERSHIP (NON S/T)
83806,05b20ac3-a15a-ed11-83d1-e74778795d1e,£0.00,11/2/22 12:10,#PackOutPR 2022
84706,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 12:42,2024/25 Super Blues Membership
84706,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 10:04,2023/24 Super Blues Membership
84706,743445c8-3fca-445e-b77a-429c338ea904,£29.99,7/23/18 0:00,2018/19 SILVER MEMBERSHIP (NON S/T)
84706,c209c57c-8afe-4262-8f7a-21409ac8eb9d,£29.99,7/24/17 0:00,2017/18 SILVER MEMBERSHIP (NON S/T)
